5400
         (-15.00, -3.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, -3.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-15.00, -2.00, -0.06) (0.10, 0.47, 0.47) (0.00, 0.00) 
         (-15.00, -2.00, -0.06) (0.10, 0.47, 0.47) (0.00, 0.00) 
         (-14.00, -3.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-14.00, -2.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -2.00, -0.06) (0.10, 0.47, 0.47) (0.00, 0.00) 
         (-14.00, -2.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -1.00, -0.07) (0.10, 0.46, 0.46) (0.00, 0.00) 
         (-15.00, -1.00, -0.07) (0.10, 0.46, 0.46) (0.00, 0.00) 
         (-14.00, -2.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, -1.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, -1.00, -0.07) (0.10, 0.46, 0.46) (0.00, 0.00) 
         (-14.00, -1.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, 0.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-15.00, 0.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-14.00, -1.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, 0.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-15.00, 0.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-14.00, 0.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-15.00, 1.00, -0.33) (0.10, 0.34, 0.34) (0.00, 0.00) 
         (-15.00, 1.00, -0.33) (0.10, 0.34, 0.34) (0.00, 0.00) 
         (-14.00, 0.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-14.00, 1.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, 1.00, -0.33) (0.10, 0.34, 0.34) (0.00, 0.00) 
         (-14.00, 1.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, 2.00, -0.34) (0.10, 0.33, 0.33) (0.00, 0.00) 
         (-15.00, 2.00, -0.34) (0.10, 0.33, 0.33) (0.00, 0.00) 
         (-14.00, 1.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, 2.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, 2.00, -0.34) (0.10, 0.33, 0.33) (0.00, 0.00) 
         (-14.00, 2.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, 3.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, 3.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, 2.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, 3.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-15.00, 3.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, 3.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-15.00, 4.00, -0.09) (0.10, 0.46, 0.46) (0.00, 0.00) 
         (-15.00, 4.00, -0.09) (0.10, 0.46, 0.46) (0.00, 0.00) 
         (-14.00, 3.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-14.00, 4.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, 4.00, -0.09) (0.10, 0.46, 0.46) (0.00, 0.00) 
         (-14.00, 4.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, 5.00, -0.05) (0.10, 0.47, 0.47) (0.00, 0.00) 
         (-15.00, 5.00, -0.05) (0.10, 0.47, 0.47) (0.00, 0.00) 
         (-14.00, 4.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, 5.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, 5.00, -0.05) (0.10, 0.47, 0.47) (0.00, 0.00) 
         (-14.00, 5.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, 6.00, -0.16) (0.10, 0.42, 0.42) (0.00, 0.00) 
         (-15.00, 6.00, -0.16) (0.10, 0.42, 0.42) (0.00, 0.00) 
         (-14.00, 5.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, 6.00, -0.21) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-15.00, 6.00, -0.16) (0.10, 0.42, 0.42) (0.00, 0.00) 
         (-14.00, 6.00, -0.21) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-15.00, 7.00, -0.30) (0.10, 0.35, 0.35) (0.00, 0.00) 
         (-15.00, 7.00, -0.30) (0.10, 0.35, 0.35) (0.00, 0.00) 
         (-14.00, 6.00, -0.21) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-14.00, 7.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, 7.00, -0.30) (0.10, 0.35, 0.35) (0.00, 0.00) 
         (-14.00, 7.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, 8.00, -0.35) (0.10, 0.32, 0.32) (0.00, 0.00) 
         (-15.00, 8.00, -0.35) (0.10, 0.32, 0.32) (0.00, 0.00) 
         (-14.00, 7.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, 8.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, 8.00, -0.35) (0.10, 0.32, 0.32) (0.00, 0.00) 
         (-14.00, 8.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, 9.00, -0.26) (0.10, 0.37, 0.37) (0.00, 0.00) 
         (-15.00, 9.00, -0.26) (0.10, 0.37, 0.37) (0.00, 0.00) 
