2400
(-4.500000, 0.000000, -0.206059) (-5.000000, 0.000000, -0.206059) (0.000000, 1.000000) 
(-5.000000, 0.500000, 0.277288) (-5.000000, 0.000000, 0.277288) (0.000000, 1.000000) 
(-5.000000, 0.500000, 0.277288) (-5.000000, 0.000000, 0.277288) (0.000000, 1.000000) 
(-4.500000, 0.000000, -0.206059) (-5.000000, 0.000000, -0.206059) (0.000000, 1.000000) 
(-4.500000, 0.500000, -0.159531) (-5.000000, 0.000000, -0.159531) (0.000000, 1.000000) 
(-5.000000, 0.500000, 0.277288) (-5.000000, 0.500000, 0.277288) (0.000000, 1.000000) 
(-4.500000, 0.500000, -0.159531) (-5.000000, 0.500000, -0.159531) (0.000000, 1.000000) 
(-5.000000, 1.000000, 0.214676) (-5.000000, 0.500000, 0.214676) (0.000000, 1.000000) 
(-5.000000, 1.000000, 0.214676) (-5.000000, 0.500000, 0.214676) (0.000000, 1.000000) 
(-4.500000, 0.500000, -0.159531) (-5.000000, 0.500000, -0.159531) (0.000000, 1.000000) 
(-4.500000, 1.000000, -0.073944) (-5.000000, 0.500000, -0.073944) (0.000000, 1.000000) 
(-5.000000, 1.000000, 0.214676) (-5.000000, 1.000000, 0.214676) (0.000000, 1.000000) 
(-4.500000, 1.000000, -0.073944) (-5.000000, 1.000000, -0.073944) (0.000000, 1.000000) 
(-5.000000, 1.500000, 0.099504) (-5.000000, 1.000000, 0.099504) (0.000000, 1.000000) 
(-5.000000, 1.500000, 0.099504) (-5.000000, 1.000000, 0.099504) (0.000000, 1.000000) 
(-4.500000, 1.000000, -0.073944) (-5.000000, 1.000000, -0.073944) (0.000000, 1.000000) 
(-4.500000, 1.500000, 0.029748) (-5.000000, 1.000000, 0.029748) (0.000000, 1.000000) 
(-5.000000, 1.500000, 0.099504) (-5.000000, 1.500000, 0.099504) (0.000000, 1.000000) 
(-4.500000, 1.500000, 0.029748) (-5.000000, 1.500000, 0.029748) (0.000000, 1.000000) 
(-5.000000, 2.000000, -0.040030) (-5.000000, 1.500000, -0.040030) (0.000000, 1.000000) 
(-5.000000, 2.000000, -0.040030) (-5.000000, 1.500000, -0.040030) (0.000000, 1.000000) 
(-4.500000, 1.500000, 0.029748) (-5.000000, 1.500000, 0.029748) (0.000000, 1.000000) 
(-4.500000, 2.000000, 0.126155) (-5.000000, 1.500000, 0.126155) (0.000000, 1.000000) 
(-5.000000, 2.000000, -0.040030) (-5.000000, 2.000000, -0.040030) (0.000000, 1.000000) 
(-4.500000, 2.000000, 0.126155) (-5.000000, 2.000000, 0.126155) (0.000000, 1.000000) 
(-5.000000, 2.500000, -0.169764) (-5.000000, 2.000000, -0.169764) (0.000000, 1.000000) 
(-5.000000, 2.500000, -0.169764) (-5.000000, 2.000000, -0.169764) (0.000000, 1.000000) 
(-4.500000, 2.000000, 0.126155) (-5.000000, 2.000000, 0.126155) (0.000000, 1.000000) 
(-4.500000, 2.500000, 0.191676) (-5.000000, 2.000000, 0.191676) (0.000000, 1.000000) 
(-5.000000, 2.500000, -0.169764) (-5.000000, 2.500000, -0.169764) (0.000000, 1.000000) 
(-4.500000, 2.500000, 0.191676) (-5.000000, 2.500000, 0.191676) (0.000000, 1.000000) 
(-5.000000, 3.000000, -0.257933) (-5.000000, 2.500000, -0.257933) (0.000000, 1.000000) 
(-5.000000, 3.000000, -0.257933) (-5.000000, 2.500000, -0.257933) (0.000000, 1.000000) 
(-4.500000, 2.500000, 0.191676) (-5.000000, 2.500000, 0.191676) (0.000000, 1.000000) 
(-4.500000, 3.000000, 0.210268) (-5.000000, 2.500000, 0.210268) (0.000000, 1.000000) 
(-5.000000, 3.000000, -0.257933) (-5.000000, 3.000000, -0.257933) (0.000000, 1.000000) 
(-4.500000, 3.000000, 0.210268) (-5.000000, 3.000000, 0.210268) (0.000000, 1.000000) 
(-5.000000, 3.500000, -0.282952) (-5.000000, 3.000000, -0.282952) (0.000000, 1.000000) 
(-5.000000, 3.500000, -0.282952) (-5.000000, 3.000000, -0.282952) (0.000000, 1.000000) 
(-4.500000, 3.000000, 0.210268) (-5.000000, 3.000000, 0.210268) (0.000000, 1.000000) 
(-4.500000, 3.500000, 0.177379) (-5.000000, 3.000000, 0.177379) (0.000000, 1.000000) 
(-5.000000, 3.500000, -0.282952) (-5.000000, 3.500000, -0.282952) (0.000000, 1.000000) 
